tweet_id,retweet_count,favorite_count
813812741911748608,12722,33632
813800681631023104,1610,7662
813217897535406080,6716,17202
813202720496779264,1667,8533
813187593374461952,3961,18266
813172488309972993,1774,8549
813157409116065792,2026,7154
813142292504645637,2198,7842
813130366689148928,411,4133
813127251579564032,2870,10936
813112105746448384,2519,9532
813096984823349248,3317,9713
813081950185472002,2550,9166
813066809284972545,1797,7353
813051746834595840,6694,19396
812781120811126785,1758,6961
812709060537683968,1329,6096
812503143955202048,1125,5570
812466873996607488,1769,7354
812372279581671427,3358,12582
811985624773361665,1288,6724
811744202451197953,1440,6976
811647686436880384,670,5160
811627233043480576,2788,11749
811386762094317568,5857,19277
810984652412424192,1299,4904
810896069567610880,1605,8294
810657578271330305,2414,10127
810284430598270976,10297,32405
810254108431155201,3086,13511
809920764300447744,3603,14326
809808892968534016,4490,0
809448704142938112,1338,6429
809220051211603969,5135,18328
809084759137812480,3216,12178
808838249661788160,2802,9353
808733504066486276,1995,7295
808501579447930884,2416,10447
808344865868283904,19021,39184
808134635716833280,5393,0
808106460588765185,2023,8146
808001312164028416,3241,11519
807621403335917568,3322,13466
807106840509214720,50487,108616
807059379405148160,6735,0
807010152071229440,3526,12064
806629075125202948,31694,68636
806620845233815552,5026,0
806576416489959424,1766,4518
806542213899489280,2177,9460
806242860592926720,10654,0
806219024703037440,1103,5958
805958939288408065,4916,0
805932879469572096,1764,7650
805826884734976000,1686,6070
805823200554876929,7311,0
805520635690676224,1515,5333
805487436403003392,2330,8094
805207613751304193,1589,7263
804738756058218496,3526,12577
804475857670639616,1837,5670
804413760345620481,2945,0
804026241225523202,14717,41046
803773340896923648,2537,9290
803692223237865472,6746,0
803638050916102144,3809,10114
803380650405482500,1736,7168
803321560782307329,4857,0
803276597545603072,2255,9265
802952499103731712,1830,8357
802624713319034886,2680,0
802600418706604034,1357,6575
802572683846291456,2307,8267
802323869084381190,5363,14910
802265048156610565,1269,6425
802239329049477120,2398,8411
802185808107208704,245,0
801958328846974976,1558,7166
801854953262350336,217,1683
801538201127157760,1910,7586
801285448605831168,760,5589
801167903437357056,5393,22434
801127390143516673,3627,0
801115127852503040,1951,7450
800859414831898624,89,638
800855607700029440,1489,0
800751577355128832,2578,9823
800513324630806528,2758,12099
800459316964663297,2019,8786
800443802682937345,3942,0
800388270626521089,2586,10284
800188575492947969,3595,0
800141422401830912,2355,14141
800018252395122689,12033,26204
799774291445383169,4274,0
799757965289017345,1972,7735
799422933579902976,1753,7445
799308762079035393,4981,0
799297110730567681,2500,9125
799063482566066176,2297,7473
798933969379225600,4072,12081
798925684722855936,1330,6935
798705661114773508,6087,0
798701998996647937,7071,0
798697898615730177,5957,0
798694562394996736,4541,0
798686750113755136,2136,0
798682547630837760,4334,0
798673117451325440,5105,0
798665375516884993,3612,0
798644042770751489,1712,0
798628517273620480,1831,0
798585098161549313,5152,0
798576900688019456,5359,0
798340744599797760,3073,0
798209839306514432,2382,9654
797971864723324932,2839,10666
797545162159308800,4535,13443
797236660651966464,6037,18439
797165961484890113,24,207
796904159865868288,8172,0
796865951799083009,1803,7103
796759840936919040,2771,10881
796563435802726400,6565,0
796484825502875648,1614,6969
796387464403357696,3807,10158
796177847564038144,13069,0
796149749086875649,13069,29678
796125600683540480,1635,4592
796116448414461957,2204,8381
796080075804475393,2122,7772
796031486298386433,3414,9956
795464331001561088,21502,45586
795400264262053889,2633,9270
795076730285391872,4986,14920
794983741416415232,3105,0
794926597468000259,2118,9395
794355576146903043,9478,0
794332329137291264,2485,8869
794205286408003585,3049,8523
793962221541933056,4490,15471
793845145112371200,1712,8500
793614319594401792,2852,0
793601777308463104,1495,7363
793500921481273345,2187,9806
793286476301799424,8416,22652
793271401113350145,2211,7995
793256262322548741,7637,18423
793241302385262592,3010,9684
793226087023144960,2672,9048
793210959003287553,2557,8212
793195938047070209,5188,14067
793180763617361921,1828,6383
793165685325201412,2589,8649
793150605191548928,1556,5667
793135492858580992,2297,5933
793120401413079041,3598,11698
792913359805018113,3638,13195
792883833364439040,3918,10385
792773781206999040,1545,6779
792394556390137856,3935,12358
792050063153438720,1640,6587
791821351946420224,19239,0
791784077045166082,8691,0
791780927877898241,3482,0
791774931465953280,20310,41662
791672322847637504,2852,10791
791406955684368384,3778,12124
791312159183634433,2310,8070
791026214425268224,3718,0
790987426131050500,1946,9030
790946055508652032,4292,15405
790723298204217344,2101,0
790698755171364864,1765,7579
790581949425475584,6513,19058
790337589677002753,1736,7202
790277117346975746,2905,11528
790227638568808452,3237,0
789986466051088384,2101,8567
789960241177853952,3725,0
789903600034189313,3794,9503
789628658055020548,1603,6885
789599242079838210,1753,6205
789530877013393408,3105,10790
789314372632018944,2091,7961
789280767834746880,4492,0
789268448748703744,2391,8416
789137962068021249,2551,8944
788908386943430656,11398,25258
788765914992902144,9478,25177
788552643979468800,6512,0
788412144018661376,4836,14320
788178268662984705,1947,6705
788150585577050112,1177,5648
788070120937619456,3158,0
788039637453406209,1199,5621
787810552592695296,2788,7913
787717603741622272,2525,9416
787397959788929025,2604,10016
787322443945877504,1602,7180
787111942498508800,6177,0
786963064373534720,7266,24502
786729988674449408,2215,0
786709082849828864,5603,16838
786664955043049472,2309,9767
786595970293370880,2854,8700
786363235746385920,3147,10014
786286427768250368,2603,7366
786233965241827333,4285,13969
786051337297522688,143,1322
786036967502913536,6370,0
785927819176054784,2921,10460
785872687017132033,1641,6147
785639753186217984,2066,7205
785533386513321988,1797,8307
785515384317313025,1133,5621
785264754247995392,1489,6723
785170936622350336,4389,11046
784826020293709826,2945,9306
784517518371221505,2311,8265
784431430411685888,1160,5291
784183165795655680,7311,18429
784057939640352768,10146,27302
783839966405230592,9803,27555
783821107061198850,1791,6799
783695101801398276,2928,9601
783466772167098368,2037,7735
783391753726550016,4995,15556
783347506784731136,5038,0
783334639985389568,10654,26758
783085703974514689,1982,7513
782969140009107456,6735,22168
782747134529531904,1290,6882
782722598790725632,4916,15857
782598640137187329,1733,7160
782305867769217024,5031,15280
782021823840026624,5596,0
781955203444699136,3069,10268
781661882474196992,2467,9595
781655249211752448,1032,3673
781524693396357120,5026,18996
781308096455073793,2339,6553
781251288990355457,1888,7673
781163403222056960,2522,8974
780931614150983680,6565,19858
780858289093574656,1823,6580
780800785462489090,1175,5035
780601303617732608,3055,11042
780543529827336192,1599,5802
780496263422808064,3351,0
780476555013349377,103,0
780459368902959104,980,4854
780192070812196864,2038,7988
780092040432480260,2080,0
780074436359819264,4480,11113
779834332596887552,6370,17252
779377524342161408,2818,8016
779124354206535695,16692,0
779056095788752897,4127,13526
778990705243029504,6531,18270
778774459159379968,8938,0
778764940568104960,328,797
778748913645780993,1180,6268
778650543019483137,1366,5263
778624900596654080,925,4220
778408200802557953,3932,12535
778396591732486144,11068,0
778383385161035776,999,5343
778286810187399168,2994,9461
778039087836069888,2405,7789
778027034220126208,1458,6003
777953400541634568,3187,0
777885040357281792,1482,5815
777684233540206592,2680,10306
777641927919427584,3844,0
777621514455814149,2299,7991
777189768882946048,3894,12951
776819012571455488,12290,0
776813020089548800,1098,4486
776477788987613185,2504,8018
776249906839351296,8269,0
776218204058357768,14394,27397
776201521193218049,2286,8778
776113305656188928,3942,10788
776088319444877312,140,1674
775898661951791106,15218,0
775842724423557120,2406,10705
775733305207554048,3627,12668
775729183532220416,4182,11891
775364825476165632,2663,6775
775350846108426240,3537,9298
775085132600442880,4274,14231
774757898236878852,1618,7891
774639387460112384,1571,6189
774314403806253056,4981,19965
773985732834758656,3511,9888
773922284943896577,1589,5889
773704687002451968,1463,6049
773670353721753600,1195,4912
773547596996571136,5573,20228
773336787167145985,4545,0
773308824254029826,6793,21305
773247561583001600,2945,8625
773191612633579521,3723,9120
772877495989305348,3516,7842
772826264096874500,2156,7334
772615324260794368,3049,0
772581559778025472,1552,5937
772193107915964416,1260,5521
772152991789019136,1029,3487
772117678702071809,669,3454
772114945936949249,429,2516
772102971039580160,843,3657
771908950375665664,1718,5998
771770456517009408,3075,10902
771500966810099713,2378,7570
771380798096281600,4545,9648
771171053431250945,6729,0
771136648247640064,2660,8382
771102124360998913,1297,5691
771014301343748096,1499,6290
770787852854652928,1078,4472
770772759874076672,1297,4742
770655142660169732,1630,6711
770414278348247044,1886,5771
770293558247038976,1318,5684
770093767776997377,2755,0
770069151037685760,2081,6935
769940425801170949,8629,28510
769695466921623552,1526,5866
769335591808995329,6992,0
769212283578875904,1570,4958
768970937022709760,5857,13050
768909767477751808,2378,0
768855141948723200,807,3823
768609597686943744,1070,3751
768596291618299904,1167,4614
768554158521745409,5246,0
768473857036525572,3094,12444
768193404517830656,3187,9885
767884188863397888,1246,4347
767754930266464257,4857,14539
767500508068192258,2098,6849
767191397493538821,3394,11203
767122157629476866,2574,9283
766793450729734144,1224,4612
766714921925144576,340,2386
766693177336135680,708,3676
766423258543644672,1421,5482
766313316352462849,1686,6183
766078092750233600,2367,0
766069199026450432,754,3836
766008592277377025,447,3427
765719909049503744,1948,6593
765669560888528897,1105,4701
765395769549590528,3048,24338
765371061932261376,1956,6505
765222098633691136,3049,10623
764857477905154048,1610,5916
764259802650378240,1350,5478
763956972077010945,48,711
763837565564780549,3718,11424
763183847194451968,1317,4904
763167063695355904,2688,0
763103485927849985,2057,6722
762699858130116608,3237,11015
762471784394268675,5784,10261
762464539388485633,3727,9370
762316489655476224,1013,4380
762035686371364864,14014,29113
761976711479193600,1776,4906
761750502866649088,3510,0
761745352076779520,780,3904
761672994376806400,26079,45086
761599872357261312,1067,3770
761371037149827077,16283,0
761334018830917632,1310,4687
761292947749015552,983,4064
761227390836215808,1403,4832
761004547850530816,3158,10338
760893934457552897,871,3468
760656994973933572,1703,6012
760641137271070720,1166,4541
760539183865880579,3254,6885
760521673607086080,1259,3823
760290219849637889,10353,24384
760252756032651264,782,3616
760190180481531904,1609,5222
760153949710192640,27,0
759943073749200896,1886,5397
759846353224826880,1766,6109
759793422261743616,1728,5429
759557299618865152,1086,4292
759447681597108224,2215,7671
759446261539934208,446,1519
759197388317847553,1770,5569
759159934323924993,1049,0
759099523532779520,3740,13262
759047813560868866,1804,5908
758854675097526272,818,3229
758828659922702336,3463,10185
758740312047005698,1474,5232
758474966123810816,900,3449
758467244762497024,1988,4355
758405701903519748,1720,4752
758355060040593408,941,3054
758099635764359168,8938,17269
758041019896193024,333,2442
757741869644341248,2956,6236
757729163776290825,7061,0
757725642876129280,1080,4141
757611664640446465,990,4168
757597904299253760,272,0
757596066325864448,938,3962
757400162377592832,6201,13763
757393109802180609,1560,5325
757354760399941633,1275,4100
756998049151549440,1795,5686
756939218950160384,1804,6045
756651752796094464,1165,4548
756526248105566208,3209,9421
756303284449767430,984,3589
756288534030475264,15936,40043
756275833623502848,1374,5811
755955933503782912,2569,6663
755206590534418437,4816,14906
755110668769038337,9968,19243
754874841593970688,7076,0
754856583969079297,2265,6285
754747087846248448,463,2347
754482103782404096,1752,4804
754449512966619136,658,3401
754120377874386944,2121,7180
753655901052166144,1952,5314
753420520834629632,3167,7133
753398408988139520,1692,5221
753375668877008896,2080,6917
753298634498793472,5088,0
753294487569522689,935,3021
753039830821511168,18724,33688
753026973505581056,854,3556
752932432744185856,6177,11474
752917284578922496,1408,6317
752701944171524096,2566,0
752682090207055872,1428,5455
752660715232722944,1399,3970
752568224206688256,2052,4985
752519690950500352,3074,6658
752334515931054080,988,3500
752309394570878976,14640,0
752173152931807232,1630,5408
751950017322246144,814,2789
751937170840121344,1174,4717
751830394383790080,1750,5309
751793661361422336,2552,5264
751598357617971201,2759,7220
751583847268179968,991,3977
751538714308972544,1129,4584
751456908746354688,910,2930
751251247299190784,5275,11426
751205363882532864,1638,5730
751132876104687617,1164,4596
750868782890057730,1218,4356
750719632563142656,4492,11934
750506206503038976,1023,4018
750429297815552001,3844,11987
750383411068534784,1018,4136
750381685133418496,25,654
750147208377409536,862,2837
750132105863102464,1149,3284
750117059602808832,1183,3948
750101899009982464,760,2779
750086836815486976,479,1967
750071704093859840,2974,7071
750056684286914561,804,2874
750041628174217216,558,2890
750026558547456000,703,2456
750011400160841729,802,2928
749996283729883136,740,2753
749981277374128128,2220,4672
749774190421639168,1179,4232
749417653287129088,1481,5525
749403093750648834,479,2378
749395845976588288,3094,7762
749317047558017024,2005,4952
749075273010798592,1838,5212
749064354620928000,1376,4374
749036806121881602,719,2800
748977405889503236,3062,9743
748932637671223296,2019,5277
748705597323898880,852,2514
748699167502000129,1432,4280
748692773788876800,1206,3845
748575535303884801,1771,5504
748568946752774144,594,1986
748346686624440324,1099,4706
748337862848962560,3659,6902
748324050481647620,667,3363
748307329658011649,640,3347
748220828303695873,6931,12852
747963614829678593,1914,5233
747933425676525569,2306,6014
747885874273214464,858,2652
747844099428986880,663,2554
747816857231626240,1031,4392
747651430853525504,138,1241
747648653817413632,5204,11693
747600769478692864,513,2105
747594051852075008,935,3321
747512671126323200,1448,4984
747461612269887489,915,3491
747439450712596480,1719,4918
747242308580548608,2572,0
747219827526344708,1413,4763
747204161125646336,809,3038
747103485104099331,3543,8671
746906459439529985,261,2646
746872823977771008,1889,5430
746818907684614144,1558,4817
746790600704425984,1429,4422
746757706116112384,3482,8606
746726898085036033,1611,5489
746542875601690625,1710,4584
746521445350707200,877,0
746507379341139972,971,4260
746369468511756288,1450,5603
746131877086527488,1954,6213
746056683365994496,720,3221
745789745784041472,943,3566
745712589599014916,2073,6327
745433870967832576,2264,6381
745422732645535745,2155,7740
745314880350101504,2441,6441
745074613265149952,3113,7078
745057283344719872,2016,6558
744995568523612160,556,2659
744971049620602880,2395,7122
744709971296780288,1397,5076
744334592493166593,1889,6180
744234799360020481,69159,141305
744223424764059648,320,1490
743980027717509120,981,3776
743895849529389061,858,3301
743835915802583040,1828,0
743609206067040256,1238,4051
743595368194129920,5821,16501
743545585370791937,847,3189
743510151680958465,3331,7208
743253157753532416,1098,3827
743222593470234624,1704,5574
743210557239623680,1217,3475
742534281772302336,3211,6401
742528092657332225,1764,3990
742465774154047488,3525,6555
742423170473463808,3351,8826
742385895052087300,1733,6102
742161199639494656,1220,3906
742150209887731712,1367,4582
741793263812808706,1361,4112
741743634094141440,2450,7370
741438259667034112,731,3322
741303864243200000,2854,7906
741099773336379392,4907,8997
741067306818797568,2755,8622
740995100998766593,2413,5670
740711788199743490,839,3064
740699697422163968,693,2567
740676976021798912,6087,16374
740373189193256964,11852,31606
740365076218183684,378,2198
740359016048689152,781,2970
740214038584557568,1754,5995
739979191639244800,5246,17946
739932936087216128,958,3633
739844404073074688,773,3431
739623569819336705,1215,3405
739606147276148736,1469,4842
739544079319588864,18874,35580
739485634323156992,2591,6423
739238157791694849,51649,104246
738891149612572673,6,87
738885046782832640,1018,3402
738883359779196928,705,2956
738537504001953792,1363,4579
738402415918125056,730,2924
738184450748633089,1086,3869
738166403467907072,2975,7868
738156290900254721,573,2221
737826014890496000,1570,4694
737800304142471168,3117,8970
737678689543020544,1165,4516
737445876994609152,3981,9219
737322739594330112,715,3240
737310737551491075,6605,13208
736736130620620800,1522,3779
736392552031657984,6512,15930
736365877722001409,1085,3585
736225175608430592,2492,7294
736010884653420544,2652,7078
735991953473572864,1024,3224
735648611367784448,984,3644
735635087207878657,2091,5510
735274964362878976,4438,11761
735256018284875776,791,2994
735137028879360001,861,2819
734912297295085568,463,2474
734787690684657664,5665,11276
734776360183431168,480,2262
734559631394082816,346,1344
733828123016450049,701,3213
733822306246479872,901,3302
733482008106668032,834,2809
733460102733135873,1120,3774
733109485275860992,15218,48049
732732193018155009,473,2169
732726085725589504,779,3198
732585889486888962,701,3276
732375214819057664,2243,7244
